mean,scale,id,sd,moransI,fractal
-2,6,529,0.00268483325916362,0.0520555507201875,2.67121334833971
-1.5,6,530,0.00236980924368561,0.0304689894492642,2.74312627686232
-1,6,531,0.00161066530535703,0.0721051132547901,2.6276054746917
-0.5,6,532,0.00120669478417471,0.0500364665641526,2.63632112145888
0,6,533,0.000725172059644397,0.0981836923900402,2.57870407787111
0.5,6,534,0.000479757702553814,0.100407774746264,2.5328702603185
1,6,535,0.00025376525781535,0.0983784779628181,2.57387620579056
1.5,6,536,0.0002660950625073,0.164125031256266,2.55580023344099
-2,7,537,0.00415792204593712,0.0254269699706304,2.58110236059568
-1.5,7,538,0.00471459036022514,0.0215800171568545,2.64795150602125
-1,7,539,0.00247703888738581,0.0578811666051662,2.61436421140089
-0.5,7,540,0.00208558081946617,0.0495764221068086,2.69384192200681
0,7,541,0.000656769511094625,0.0999822551305462,2.57692120221264
0.5,7,542,0.000387678197135331,0.130867136751768,2.5309343710844
1,7,543,0.000294043082651197,0.192778017102052,2.55448754178005
1.5,7,544,0.000218463062623323,0.114474605555493,2.57842864241485
-2,8,545,0.00236500681894654,0.0730567859947815,2.57752111249584
-1.5,8,546,0.00135339204807756,0.124631009915553,2.52600550266541
-1,8,547,0.00092448080591216,0.102876969920755,2.54083628992126
-0.5,8,548,0.00109854188413762,0.127414570090046,2.49183889401647
0,8,549,0.000609728651011457,0.116169511579549,2.52944142763583
0.5,8,550,0.000387892438812535,0.123091008584827,2.56492062236116
1,8,551,0.000254632668437015,0.198491111087167,2.53614003993715
1.5,8,552,0.000186664677519247,0.103281383586994,2.5529487733329
-2,9,553,0.00146554489955287,0.0879304497347548,2.55323812214835
-1.5,9,554,0.0018404843014153,0.077992138083275,2.70403152547511
-1,9,555,0.000854562445727299,0.147128743324351,2.60915638431178
-0.5,9,556,0.00109024660793566,0.0736292910942451,2.53928308436315
0,9,557,0.000574925725459356,0.148762327444765,2.56465824784423
0.5,9,558,0.000407502994331961,0.186376449711105,2.52514557972499
1,9,559,0.000278819994094898,0.250085108119562,2.5200029500112
1.5,9,560,0.000269082900138002,0.205127239314494,2.49776717257379
-2,10,561,0.00829189620636444,0.0190923668050214,2.877555649204
-1.5,10,562,0.0023268258578495,0.0754490332988489,2.55324241222097
-1,10,563,0.00141114269829409,0.119480096251055,2.54429385720352
-0.5,10,564,0.00056383918950019,0.10734021032635,2.53716278165377
0,10,565,0.000830044419266585,0.168717826893196,2.53410098389263
0.5,10,566,0.000674180718552895,0.16427575360076,2.55759391121887
1,10,567,0.000360922475043032,0.153171217174257,2.53351922991887
1.5,10,568,0.000351792008096653,0.156131600337992,2.53025867225831
-2,15,569,0.00311034648501348,0.0733934117427205,2.65088200537568
-1.5,15,570,0.00312765720108282,0.0486035328857623,2.58779871469301
